ano,semestre,uf,sexo,pop_alfabetizada,pop_nao_alfabetizada,populacao_total,taxa_alfabetizacao
2023,1,AC,Homens,67693,8235,75928,89.1542
2023,1,AC,Mulheres,53573,9518,63091,84.9139
2023,1,AL,Homens,239268,55421,294689,81.1934
2023,1,AL,Mulheres,192290,41451,233741,82.2663
2023,1,AM,Homens,339767,25234,365001,93.0866
2023,1,AM,Mulheres,352592,18579,371171,94.9945
2023,1,AP,Homens,30076,2366,32442,92.707
2023,1,AP,Mulheres,38244,2315,40559,94.2923
2023,1,BA,Homens,1266296,187067,1453363,87.1287
2023,1,BA,Mulheres,1239332,166375,1405707,88.1643
2023,1,CE,Homens,636169,150376,786545,80.8814
2023,1,CE,Mulheres,758494,96155,854649,88.7492
2023,1,DF,Homens,515268,19052,534320,96.4343
2023,1,DF,Mulheres,1904,24,1928,98.7552
2023,1,ES,Homens,337951,22761,360712,93.69
2023,1,ES,Mulheres,413833,24318,438151,94.4499
2023,1,GO,Homens,635885,40803,676688,93.9702
2023,1,GO,Mulheres,680121,41428,721549,94.2585
2023,1,MA,Homens,469775,103369,573144,81.9646
2023,1,MA,Mulheres,572760,84872,657632,87.0943
2023,1,MG,Homens,1992835,124572,2117407,94.1168
2023,1,MG,Mulheres,2007322,115149,2122471,94.5748
2023,1,MS,Homens,204232,12868,217100,94.0728
2023,1,MS,Mulheres,258447,12899,271346,95.2463
2023,1,MT,Homens,322100,20959,343059,93.8906
2023,1,MT,Mulheres,330560,16962,347522,95.1192
2023,1,PA,Homens,559732,69533,629265,88.9501
2023,1,PA,Mulheres,662393,61412,723805,91.5154
2023,1,PB,Homens,337375,72972,410347,82.217
2023,1,PB,Mulheres,333875,50162,384037,86.9382
2023,1,PE,Homens,722948,113313,836261,86.45
2023,1,PE,Mulheres,763362,112386,875748,87.1669
2023,1,PI,Homens,219164,62519,281683,77.8052
2023,1,PI,Mulheres,293552,48402,341954,85.8455
2023,1,PR,Homens,991536,40373,1031909,96.0875
2023,1,PR,Mulheres,1219848,56869,1276717,95.5457
2023,1,RJ,Homens,1217267,55551,1272818,95.6356
2023,1,RJ,Mulheres,1918947,60224,1979171,96.9571
2023,1,RN,Homens,291152,53731,344883,84.4205
2023,1,RN,Mulheres,281525,38815,320340,87.8832
2023,1,RO,Homens,148892,11183,160075,93.0139
2023,1,RO,Mulheres,144831,9663,154494,93.7454
2023,1,RR,Homens,50117,4466,54583,91.818
2023,1,RR,Mulheres,55974,2463,58437,95.7852
2023,1,RS,Homens,957690,34100,991790,96.5618
2023,1,RS,Mulheres,993378,31079,1024457,96.9663
2023,1,SC,Homens,733188,20501,753689,97.2799
2023,1,SC,Mulheres,779339,24213,803552,96.9868
2023,1,SE,Homens,169787,32497,202284,83.935
2023,1,SE,Mulheres,207567,29212,236779,87.6628
2023,1,SP,Homens,4121896,123250,4245146,97.0967
2023,1,SP,Mulheres,4631301,165137,4796438,96.5571
2023,1,TO,Homens,118768,13822,132590,89.5754
2023,1,TO,Mulheres,119205,12350,131555,90.6123
2023,2,AC,Homens,71500,11221,82721,86.4351
2023,2,AC,Mulheres,61004,7482,68486,89.0751
2023,2,AL,Homens,230407,50472,280879,82.0307
2023,2,AL,Mulheres,287476,59640,347116,82.8184
2023,2,AM,Homens,217763,23926,241689,90.1005
2023,2,AM,Mulheres,297255,25668,322923,92.0514
2023,2,AP,Homens,36479,3333,39812,91.6282
2023,2,AP,Mulheres,33416,1960,35376,94.4595
2023,2,BA,Homens,1108893,181157,1290050,85.9574
2023,2,BA,Mulheres,1303435,153968,1457403,89.4355
2023,2,CE,Homens,746826,126470,873296,85.5181
2023,2,CE,Mulheres,840151,112891,953042,88.1547
2023,2,DF,Homens,92234,2495,94729,97.3662
2023,2,DF,Mulheres,353724,8466,362190,97.6626
2023,2,ES,Homens,409455,21414,430869,95.03
2023,2,ES,Mulheres,371213,25200,396413,93.643
2023,2,GO,Homens,620835,37803,658638,94.2604
2023,2,GO,Mulheres,678670,33302,711972,95.3226
2023,2,MA,Homens,472309,105381,577690,81.7582
2023,2,MA,Mulheres,538253,88042,626295,85.9424
2023,2,MG,Homens,1801816,118908,1920724,93.8092
2023,2,MG,Mulheres,1978226,128516,2106742,93.8998
2023,2,MS,Homens,351514,15654,367168,95.7366
2023,2,MS,Mulheres,254930,14312,269242,94.6843
2023,2,MT,Homens,292488,20863,313351,93.342
2023,2,MT,Mulheres,399886,20558,420444,95.1104
2023,2,PA,Homens,589303,71457,660760,89.1856
2023,2,PA,Mulheres,669472,58803,728275,91.9257
2023,2,PB,Homens,223309,63414,286723,77.8832
2023,2,PB,Mulheres,351689,54539,406228,86.5743
2023,2,PE,Homens,700420,128898,829318,84.4573
2023,2,PE,Mulheres,847670,111658,959328,88.3608
2023,2,PI,Homens,295636,63845,359481,82.2397
2023,2,PI,Mulheres,312969,48603,361572,86.5579
2023,2,PR,Homens,1230264,48851,1279115,96.1809
2023,2,PR,Mulheres,1026407,54394,1080801,94.9673
2023,2,RJ,Homens,2019617,56483,2076100,97.2794
2023,2,RJ,Mulheres,1538465,59113,1597578,96.2998
2023,2,RN,Homens,238219,51981,290200,82.0879
2023,2,RN,Mulheres,274816,38527,313343,87.7045
2023,2,RO,Homens,129098,8204,137302,94.0249
2023,2,RO,Mulheres,188836,10421,199257,94.7701
2023,2,RR,Homens,51319,5212,56531,90.7803
2023,2,RR,Mulheres,90032,4686,94718,95.0527
2023,2,RS,Homens,1140752,35194,1175946,97.0072
2023,2,RS,Mulheres,1159982,34673,1194655,97.0977
2023,2,SC,Homens,677205,19029,696234,97.2669
2023,2,SC,Mulheres,794652,22402,817054,97.2582
2023,2,SE,Homens,208201,40691,248892,83.6511
2023,2,SE,Mulheres,216417,28731,245148,88.2801
2023,2,SP,Homens,3996396,110694,4107090,97.3048
2023,2,SP,Mulheres,4919078,164894,5083972,96.7566
2023,2,TO,Homens,137431,16174,153605,89.4704
2023,2,TO,Mulheres,154458,10305,164763,93.7456
2024,1,AC,Homens,57485,12211,69696,82.4796
2024,1,AC,Mulheres,84241,9677,93918,89.6963
2024,1,AL,Homens,225701,52777,278478,81.0481
2024,1,AL,Mulheres,250066,44485,294551,84.8974
2024,1,AM,Homens,378428,24589,403017,93.8988
2024,1,AM,Mulheres,529420,34085,563505,93.9513
2024,1,AP,Homens,98058,6290,104348,93.9721
2024,1,AP,Mulheres,105925,7614,113539,93.2939
2024,1,BA,Homens,1095776,184076,1279852,85.6174
2024,1,BA,Mulheres,1430373,181595,1611968,88.7346
2024,1,CE,Homens,741523,142709,884232,83.8607
2024,1,CE,Mulheres,861928,121838,983766,87.6151
2024,1,DF,Homens,85504,2372,87876,97.3007
2024,1,DF,Mulheres,495541,9417,504958,98.1351
2024,1,ES,Homens,314867,17020,331887,94.8717
2024,1,ES,Mulheres,295889,19173,315062,93.9145
2024,1,GO,Homens,762951,41617,804568,94.8274
2024,1,GO,Mulheres,689483,34893,724376,95.183
2024,1,MA,Homens,526318,106435,632753,83.1791
2024,1,MA,Mulheres,519166,81113,600279,86.4875
2024,1,MG,Homens,1904459,113428,2017887,94.3789
2024,1,MG,Mulheres,2097495,134963,2232458,93.9545
2024,1,MS,Homens,221522,14633,236155,93.8036
2024,1,MS,Mulheres,246760,18898,265658,92.8863
2024,1,MT,Homens,367166,25202,392368,93.5769
2024,1,MT,Mulheres,304572,21510,326082,93.4035
2024,1,PA,Homens,842864,81019,923883,91.2306
2024,1,PA,Mulheres,740504,60556,801060,92.4405
2024,1,PB,Homens,330869,72995,403864,81.9258
2024,1,PB,Mulheres,367541,56596,424137,86.6562
2024,1,PE,Homens,713539,134484,848023,84.1415
2024,1,PE,Mulheres,725331,117184,842515,86.0912
2024,1,PI,Homens,252046,60951,312997,80.5267
2024,1,PI,Mulheres,250181,47958,298139,83.9142
2024,1,PR,Homens,1140484,43305,1183789,96.3418
2024,1,PR,Mulheres,1081307,51695,1133002,95.4373
2024,1,RJ,Homens,1393894,49600,1443494,96.5639
2024,1,RJ,Mulheres,1666944,57544,1724488,96.6631
2024,1,RN,Homens,267118,50824,317942,84.0147
2024,1,RN,Mulheres,348914,43659,392573,88.8788
2024,1,RO,Homens,127166,9831,136997,92.8239
2024,1,RO,Mulheres,117086,10805,127891,91.5514
2024,1,RR,Homens,54386,3432,57818,94.0641
2024,1,RR,Mulheres,23392,2888,26280,89.0107
2024,1,RS,Homens,989057,34153,1023210,96.6622
2024,1,RS,Mulheres,1095259,36351,1131610,96.7877
2024,1,SC,Homens,772317,21108,793425,97.3396
2024,1,SC,Mulheres,740448,18681,759129,97.5392
2024,1,SE,Homens,145258,27244,172502,84.2066
2024,1,SE,Mulheres,188590,30652,219242,86.0191
2024,1,SP,Homens,4649014,128929,4777943,97.3016
2024,1,SP,Mulheres,4224602,132582,4357184,96.9572
2024,1,TO,Homens,113430,13161,126591,89.6035
2024,1,TO,Mulheres,122877,11029,133906,91.7636
2024,2,AC,Homens,65719,8125,73844,88.9971
2024,2,AC,Mulheres,73801,7365,81166,90.926
2024,2,AL,Homens,222547,58381,280928,79.2185
2024,2,AL,Mulheres,341432,64088,405520,84.1961
2024,2,AM,Homens,378790,29873,408663,92.6901
2024,2,AM,Mulheres,173107,17013,190120,91.0514
2024,2,AP,Homens,80774,5911,86685,93.1811
2024,2,AP,Mulheres,77958,4853,82811,94.1397
2024,2,BA,Homens,1166973,188263,1355236,86.1085
2024,2,BA,Mulheres,1246189,178398,1424587,87.4772
2024,2,CE,Homens,661521,130268,791789,83.5476
2024,2,CE,Mulheres,758045,106448,864493,87.6867
2024,2,DF,Homens,346377,7676,354053,97.832
2024,2,DF,Mulheres,329235,13778,343013,95.9832
2024,2,ES,Homens,347105,21116,368221,94.2654
2024,2,ES,Mulheres,428000,22839,450839,94.9341
2024,2,GO,Homens,557094,40378,597472,93.2419
2024,2,GO,Mulheres,691300,38468,729768,94.7287
2024,2,MA,Homens,598097,109385,707482,84.5388
2024,2,MA,Mulheres,662012,93693,755705,87.6019
2024,2,MG,Homens,1944516,126050,2070566,93.9123
2024,2,MG,Mulheres,2119828,123370,2243198,94.5003
2024,2,MS,Homens,214655,12419,227074,94.5309
2024,2,MS,Mulheres,282247,14177,296424,95.2173
2024,2,MT,Homens,349899,19560,369459,94.7058
2024,2,MT,Mulheres,297734,18872,316606,94.0393
2024,2,PA,Homens,740132,81740,821872,90.0544
2024,2,PA,Mulheres,787294,52077,839371,93.7957
2024,2,PB,Homens,325197,70093,395290,82.268
2024,2,PB,Mulheres,375416,61667,437083,85.8912
2024,2,PE,Homens,719359,121274,840633,85.5735
2024,2,PE,Mulheres,1009003,121698,1130701,89.2369
2024,2,PI,Homens,239889,58361,298250,80.4322
2024,2,PI,Mulheres,279739,55400,335139,83.4695
2024,2,PR,Homens,921236,40537,961773,95.7852
2024,2,PR,Mulheres,1239344,62303,1301647,95.2135
2024,2,RJ,Homens,1289179,40864,1330043,96.9276
2024,2,RJ,Mulheres,1721401,53463,1774864,96.9878
2024,2,RN,Homens,257462,53954,311416,82.6746
2024,2,RN,Mulheres,321879,35427,357306,90.085
2024,2,RO,Homens,166143,10151,176294,94.242
2024,2,RO,Mulheres,131430,9273,140703,93.4095
2024,2,RR,Homens,51790,3831,55621,93.1123
2024,2,RR,Mulheres,41626,4169,45795,90.8964
2024,2,RS,Homens,1059162,31684,1090846,97.0955
2024,2,RS,Mulheres,1302190,41574,1343764,96.9062
2024,2,SC,Homens,760917,18470,779387,97.6302
2024,2,SC,Mulheres,763739,20780,784519,97.3512
2024,2,SE,Homens,166451,27954,194405,85.6207
2024,2,SE,Mulheres,197765,23423,221188,89.4104
2024,2,SP,Homens,4057507,139079,4196586,96.6859
2024,2,SP,Mulheres,4700731,168802,4869533,96.5335
2024,2,TO,Homens,149754,15345,165099,90.7056
2024,2,TO,Mulheres,139370,12949,152319,91.4988
